USERID,MOVIEID
1,6155
1,52973
1,377
1,134130
1,49272
2,296
2,4848
2,4816
2,4878
2,2160
3,40815
3,8235
3,6385
3,2171
3,4973
4,39
4,28
4,99
4,53
4,85
5,6155
5,52973
5,377
5,134130
5,49272
6,2427
6,1196
6,1200
6,6711
6,1178
7,4117
7,3751
7,910
7,2396
7,912
8,1246
8,8368
8,54001
8,87234
8,40815
9,3969
9,909
9,80549
9,948
9,30707
10,1732
10,858
10,1198
10,1210
10,541
11,3697
11,1320
11,4021
11,296
11,3996
12,1732
12,858
12,2959
12,1198
12,1210
13,500
13,616
13,68954
13,2078
13,586
14,589
14,45
14,50
14,373
14,475
15,4366
15,2193
15,2288
15,3916
15,2167
16,1246
16,8368
16,54001
16,87234
16,40815
17,1246
17,8368
17,54001
17,87234
17,40815
18,6155
18,52973
18,49272
18,64969
18,2502
19,4117
19,912
19,78499
19,2019
19,2020
20,6155
20,52973
20,377
20,134130
20,49272
21,1228
21,2951
21,2968
21,8542
21,1227
22,4117
22,910
22,2396
22,912
22,78499
23,4117
23,3751
23,910
23,2396
23,78499
24,89904
24,94959
24,7361
24,55247
24,168492
25,1246
25,8368
25,54001
25,87234
25,40815
26,158
26,377
26,508
26,261
26,474
27,2959
27,592
27,3578
27,5254
27,2028
28,4117
28,3751
28,910
28,2396
28,912
29,500
29,616
29,68954
29,2078
29,586
30,1246
30,8368
30,54001
30,87234
30,40815
31,3697
31,1320
31,4021
31,296
31,3996
32,1246
32,8368
32,54001
32,87234
32,40815
33,1246
33,8368
33,54001
33,87234
33,40815
34,902
34,1307
34,8533
34,1339
34,81591
35,2936
35,5902
35,1199
35,1197
35,4993
36,4117
36,3751
36,910
36,2396
36,912
37,364
37,377
37,367
37,454
37,47
38,5
38,316
38,616
38,277
38,262
39,6155
39,52973
39,377
39,134130
39,49272
40,2427
40,1196
40,1200
40,6711
40,1178
41,4117
41,3751
41,910
41,2396
41,912
42,1200
42,6711
42,1178
42,3160
42,1732
43,2427
43,1196
43,1200
43,6711
43,1178
44,858
44,31696
44,6365
44,2959
44,296
45,2427
45,1200
45,6711
45,1178
45,3160
46,1246
46,8368
46,54001
46,87234
46,40815
47,4117
47,3751
47,910
47,2396
47,912
48,89904
48,94959
48,7361
48,4973
48,55247
49,1246
49,8368
49,54001
49,87234
49,40815
50,104879
50,34405
50,3535
50,51662
50,93838
51,2427
51,1178
51,3160
51,1732
51,1208
52,1732
52,858
52,541
52,296
52,59615
53,2427
53,1196
53,1200
53,6711
53,1178
54,10
54,225
54,158
54,508
54,261
55,4117
55,3751
55,910
55,2396
55,912
56,1246
56,8368
56,54001
56,87234
56,40815
57,616
57,68954
57,2078
57,586
57,2953
58,2427
58,1196
58,1200
58,6711
58,1178
59,500
59,616
59,68954
59,2078
59,586
60,1246
60,8368
60,54001
60,87234
60,40815
61,3082
61,10
61,2706
61,1270
61,47997
62,541
62,59615
62,6283
62,32
62,1963
63,6155
63,52973
63,134130
63,64969
63,2502
64,52973
64,134130
64,49272
64,64969
64,58998
65,8368
65,54001
65,87234
65,40815
65,117192
66,2427
66,1178
66,3160
66,1732
66,1208
67,1246
67,8368
67,54001
67,87234
67,40815
68,4117
68,3751
68,2020
68,916
68,3508
69,162414
69,6945
69,6611
69,1676
69,152711
70,500
70,616
70,68954
70,2078
70,586
71,3697
71,1320
71,4021
71,296
71,3996
72,1246
72,8368
72,54001
72,87234
72,40815
73,858
73,2959
73,1198
73,1210
73,541
74,500
74,616
74,68954
74,2078
74,586
75,4117
75,3751
75,910
75,2396
75,78499
76,4366
76,2193
76,2288
76,3916
76,2167
77,89904
77,94959
77,55247
77,168492
77,8784
78,6155
78,52973
78,134130
78,49272
78,64969
79,1246
79,8368
79,54001
79,87234
79,40815
80,106489
80,1198
80,5952
80,4993
80,122886
81,4366
81,2193
81,2288
81,3916
81,2167
82,1230
82,1228
82,2951
82,2968
82,8542
83,4366
83,2193
83,2288
83,3916
83,2167
84,616
84,68954
84,2078
84,2953
84,3061
85,39
85,28
85,162
85,99
85,85
86,500
86,616
86,68954
86,2078
86,586
87,2936
87,5902
87,1199
87,1197
87,4993
88,6155
88,52973
88,377
88,134130
88,49272
89,4117
89,2396
89,912
89,78499
89,2019
90,2427
90,1196
90,1200
90,6711
90,1178
91,4117
91,3751
91,910
91,78499
91,2020
92,2329
92,4878
92,69122
92,919
92,1215
93,3697
93,1320
93,4021
93,296
93,3996
94,1359
94,338
94,174
94,333
94,673
95,6155
95,52973
95,377
95,134130
95,49272
96,500
96,616
96,68954
96,2078
96,586
97,1639
97,296
97,1206
97,1274
97,6874
98,1732
98,2959
98,1198
98,1210
98,541
99,2427
99,1196
99,1200
99,6711
99,1178
100,2427
100,1196
100,1200
100,6711
100,1178
101,6155
101,52973
101,377
101,134130
101,49272
102,10
102,225
102,508
102,261
102,185
103,6155
103,52973
103,377
103,134130
103,49272
104,1732
104,2959
104,1198
104,1210
104,541
105,1732
105,1210
105,59615
105,6283
105,1963
106,106696
106,140715
106,6936
106,7438
106,146656
107,1246
107,8368
107,54001
107,87234
107,40815
108,162414
108,6945
108,6611
108,1676
108,152711
109,1246
109,8368
109,54001
109,87234
109,40815
110,1246
110,8368
110,54001
110,87234
110,40815
111,1732
111,858
111,1198
111,1210
111,541
112,1246
112,8368
112,54001
112,87234
112,40815
113,40815
113,8235
113,6385
113,2171
113,4973
114,3969
114,909
114,80549
114,948
114,30707
115,3697
115,1320
115,4021
115,3996
115,1221
116,4117
116,3751
116,910
116,2396
116,912
117,1246
117,8368
117,54001
117,87234
117,40815
118,1246
118,8368
118,54001
118,87234
118,40815
119,858
119,2959
119,1198
119,1210
119,541
120,1
120,1101
120,86
120,1356
120,165
121,10
121,158
121,261
121,185
121,60
122,6155
122,52973
122,377
122,64969
122,81834
123,89904
123,94959
123,7361
123,4973
123,55247
124,78499
124,1704
124,65230
124,166643
124,72641
125,1198
125,541
125,59615
125,6283
125,32
126,71535
