标题,类别,ACM Ref
Towards a decision-making structure for selecting a research design in empirical software engineering,other/can not judge,"Claes Wohlin and Aybüke Aurum. 2015. Towards a decision-making structure for selecting a research design in empirical software engineering. Empirical Softw. Engg. 20, 6 (December  2015), 1427–1455. https://doi.org/10.1007/s10664-014-9319-7"
A framework and architecture for rapid software development: a success story,Case Studies,"Manuel J. Moreno-Lizaranzu and Federico Cuesta. 2015. A framework and architecture for rapid software development: a success story. Empirical Softw. Engg. 20, 6 (December 2015), 1456–1485. https://doi.org/10.1007/s10664-014-9320-1"
A large study on the effect of code obfuscation on the quality of java code,Action Research,"Mariano Ceccato, Andrea Capiluppi, Paolo Falcarin, and Cornelia Boldyreff. 2015. A large study on the effect of code obfuscation on the quality of java code. Empirical Softw. Engg. 20, 6 (December  2015), 1486–1524. https://doi.org/10.1007/s10664-014-9321-0"
How product owner teams scale agile methods to large distributed enterprises,Expert Opinions,"Julian M. Bass. 2015. How product owner teams scale agile methods to large distributed enterprises. Empirical Softw. Engg. 20, 6 (December  2015), 1525–1557. https://doi.org/10.1007/s10664-014-9322-z"
Recommending reference API documentation,Controlled Experiments,"Martin P. Robillard and Yam B. Chhetri. 2015. Recommending reference API documentation. Empirical Softw. Engg. 20, 6 (December  2015), 1558–1586. https://doi.org/10.1007/s10664-014-9323-y"
A Large-Scale Empirical Study of the Relationship between Build Technology and Build Maintenance,Case Studies,"Build systems specify how source code is translated into deliverables. They require continual maintenance as the system they build evolves. This build maintenance can become so burdensome that projects switch build technologies, potentially having to rewrite thousands of lines of build code. We aim to understand the prevalence of different build technologies and the relationship between build technology and build maintenance by analyzing version histories in a corpus of 177,039 repositories spread across four software forges, three software ecosystems, and four large-scale projects. We study low-level, abstraction-based, and framework-driven build technologies, as well as tools that automatically manage external dependencies. We find that modern, framework-driven build technologies need to be maintained more often and these build changes are more tightly coupled with the source code than low-level or abstraction-based ones. However, build technology migrations tend to coincide with a shift of build maintenance work to a build-focused team, deferring the cost of build maintenance to them."
"Case studies synthesis: a thematic, cross-case, and narrative synthesis worked example",Action Research,"Daniela S. Cruzes, Tore Dybå, Per Runeson, and Martin Höst. 2015. Case studies synthesis: a thematic, cross-case, and narrative synthesis worked example. Empirical Softw. Engg. 20, 6 (December  2015), 1634–1665. https://doi.org/10.1007/s10664-014-9326-8"
Link analysis algorithms for static concept location: an empirical assessment,Controlled Experiments,"Giuseppe Scanniello, Andrian Marcus, and Daniele Pascale. 2015. Link analysis algorithms for static concept location: an empirical assessment. Empirical Softw. Engg. 20, 6 (December  2015), 1666–1720. https://doi.org/10.1007/s10664-014-9327-7"
Software requirements prioritization and selection using linguistic tools and constraint solvers--a controlled experiment,Controlled Experiments,"Jason Mczara, Shahryar Sarkani, Thomas Holzer, and Timothy Eveleigh. 2015. Software requirements prioritization and selection using linguistic tools and constraint solvers--a controlled experiment. Empirical Softw. Engg. 20, 6 (December  2015), 1721–1761. https://doi.org/10.1007/s10664-014-9334-8"
Optimising agile development practices for the maintenance operation: nine heuristics,other/can not judge,"Lise Tordrup Heeager and Jeremy Rose. 2015. Optimising agile development practices for the maintenance operation: nine heuristics. Empirical Softw. Engg. 20, 6 (December  2015), 1762–1784. https://doi.org/10.1007/s10664-014-9335-7"
