标题,类别,ACM Ref
Designing microgames for assessment: a case study in rapid prototype iteration,Case Studies,"Lindsay Grace, G. Tanner Jackson, Christopher Totten, Julian Parker, and Joyce Rice. 2015. Designing microgames for assessment: a case study in rapid prototype iteration. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 20, 1–4. https://doi.org/10.1145/2832932.2832969"
"Need to Touch, Wonder of Discovery, and Social Capital:Experiences with Interactive Playful Seats",Controlled Experiments,"Timo Nummenmaa, Heikki Tyni, Annakaisa Kultima, Kati Alha, and Jussi Holopainen. 2015. Need to touch, wonder of discovery, and social capital: experiences with interactive playful seats. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 10, 1–12. https://doi.org/10.1145/2832932.2832959"
Diversity through specificity: design lessons learned from the Games [4Diversity] Jams,Surveys,"Menno Deen, Frank Nack, and Mata Haggis. 2015. Diversity through specificity: design lessons learned from the Games [4Diversity] Jams. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 5, 1–10. https://doi.org/10.1145/2832932.2832957"
Emotion sharing during live sports broadcasts: studying its potential and the users' preferences,Controlled Experiments,"Pedro Centieiro, Teresa Romão, and A. Eduardo Dias. 2015. Emotion sharing during live sports broadcasts: studying its potential and the users' preferences. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 22, 1–4. https://doi.org/10.1145/2832932.2832986"
In sync with fair play!: delivering a synchronized and cheat-preventing second screen gaming experience,Action Research,"Pedro Centieiro, Rui Neves Madeira, Teresa Romão, A. Eduardo Dias, and Nuno Correia. 2015. In sync with fair play! delivering a synchronized and cheat-preventing second screen gaming experience. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 6, 1–11. https://doi.org/10.1145/2832932.2832953"
Artificial Companions as Personal Coach for Children:The Interactive Drums Teacher,Controlled Experiments,"Courgeon Matthieu and Duhaut Dominique. 2015. Artificial companions as personal coach for children: the interactive drums teacher. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 16, 1–4. https://doi.org/10.1145/2832932.2832981"
Cultural play: a tangible interactive game-based learning project on the cultural heritage of Singapore,Ethnographies,"Ng Ee Ching @ Candice, Zeliha Gul Inanc, Galina Mihaleva, and Ivy Maria Lim. 2015. Cultural play: a tangible interactive game-based learning project on the cultural heritage of Singapore. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 45, 1–3. https://doi.org/10.1145/2832932.2832960"
Who is moving - user or device?: experienced quality of mobile 3d video in vehicles,Controlled Experiments,"Satu Jumisko-Pyykkö, Panos Markopoulos, and Miska M. Hannuksela. 2015. Who is moving - user or device? experienced quality of mobile 3d video in vehicles. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 13, 1–11. https://doi.org/10.1145/2832932.2832948"
StudI/O: Locating Toy Blocks by Projection,Action Research,"Natsumi Hashimoto and Itiro Siio. 2015. StudI/O: locating toy blocks by projection. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 30, 1–4. https://doi.org/10.1145/2832932.2832974"
Sensing the shape of canine responses to cancer,Controlled Experiments,"Olivia Johnston-Wilder, Clara Mancini, Brendan Aengenheister, Joe Mills, Rob Harris, and Claire Guest. 2015. Sensing the shape of canine responses to cancer. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 63, 1–4. https://doi.org/10.1145/2832932.2837017"
UltraSoundLog: location/person-aware sound log system for museums,Action Research,"Hiroki Watanabe, Tsutomu Terada, and Masahiko Tsukamoto. 2015. UltraSoundLog: location/person-aware sound log system for museums. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 12, 1–10. https://doi.org/10.1145/2832932.2832954"
Providing ambient information as comfortable sound for reducing cognitive overload,Surveys,"Kohki Ikeuchi, Mohammed AlSada, and Tatsuo Nakajima. 2015. Providing ambient information as comfortable sound for reducing cognitive overload. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 29, 1–5. https://doi.org/10.1145/2832932.2832985"
Consumer sensory neuroscience in the context of food marketing,Controlled Experiments,"Olivia Petit, Carlos Velasco, Adrian David Cheok, and Charles Spence. 2015. Consumer sensory neuroscience in the context of food marketing. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 49, 1–4. https://doi.org/10.1145/2832932.2856226"
DisplayPointers: seamless cross-device interactions,Action Research,"Paul Strohmeier. 2015. DisplayPointers: seamless cross-device interactions. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 4, 1–8. https://doi.org/10.1145/2832932.2832958"
A model to analyze and design educational games with pedagogical foundations,Systematic Literature Reviews,"Francisco Lepe-Salazar. 2015. A model to analyze and design educational games with pedagogical foundations. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 1, 1–14. https://doi.org/10.1145/2832932.2832951"
"Smelling, pulling, and looking: unpacking similarities and differences in dog and human city life",Ethnographies,"Fredrik Aspling, Oskar Juhlin, and Elisa Chiodo. 2015. Smelling, pulling, and looking: unpacking similarities and differences in dog and human city life. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 64, 1–9. https://doi.org/10.1145/2832932.2837013"
Educational online games: implementing MMO approach to enhance users' affective learning experiences,Surveys,"Nurul Nisa Omar, Lim Yan Peng, and Tengku Putri Norishah. 2015. Educational online games: implementing MMO approach to enhance users' affective learning experiences. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 21, 1–5. https://doi.org/10.1145/2832932.2832973"
"Fredrik Aspling, Oskar Juhlin, and Elisa Chiodo. 2015. Smelling, pulling, and looking: unpacking similarities and differences in dog and human city life. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 64, 1–9. https://doi.org/10.1145/2832932.2837013",Surveys,"Duncan Rowland, Kwamena Appiah-Kubi, Victoria Shipp, Richard Mortier, and Steve Benford. 2015. Annotation and anonymity: playful photo-sharing by visiting groups of teenagers. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 2, 1–10. https://doi.org/10.1145/2832932.2832955"
Playful rocksalt system: animal-computer interaction design in wild environments,other/can not judge,"Hiroki Kobayashi, Kana Muramatsu, Junya Okuno, Kazuhiko Nakamura, Akio Fujiwara, and Kaoru Saito. 2015. Playful rocksalt system: animal-computer interaction design in wild environments. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 62, 1–4. https://doi.org/10.1145/2832932.2837012"
Co-creating embodied sketches playing as a method to design with children,Surveys,"Elena Márquez Segura. 2015. Co-creating embodied sketches playing as a method to design with children. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 18, 1–7. https://doi.org/10.1145/2832932.2832975"
Initial basic concept of thermal sweet taste interface,other/can not judge,"Adrian David Cheok, Kasun Karunanayaka, Nur Amira Samshir, and Nurafiqah Johari. 2015. Initial basic concept of thermal sweet taste interface. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 52, 1–3. https://doi.org/10.1145/2832932.2856225"
"Experience-based learning support system to enhance child learning in a museum: touching real fossils and ""experiencing"" paleontological environment",other/can not judge,"Ryuichi Yoshida, Haruya Tamaki, Tsugunosuke Sakai, Machi Saito, Ryohei Egusa, Shinichi Kamiyama, Miki Namatame, Masanori Sugimoto, Fusako Kusunoki, Etsuji Yamaguchi, Shigenori Inagaki, Yoshiaki Takeda, and Hiroshi Mizoguchi. 2015. Experience-based learning support system to enhance child learning in a museum: touching real fossils and ""experiencing"" paleontological environment. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 25, 1–4. https://doi.org/10.1145/2832932.2832977"
Designing for intuitive use for non-human users,other/can not judge,"Hanna E. Wirman and Ida K. H. Jørgensen. 2015. Designing for intuitive use for non-human users. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 58, 1–8. https://doi.org/10.1145/2832932.2837008"
t-stories: improving and expanding t-words,Controlled Experiments,"Joaquim Dantas, Cristina Sylla, Pedro Branco, Vítor Carvalho, and Eva Oliveira. 2015. T-stories: improving and expanding t-words. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 38, 1–5. https://doi.org/10.1145/2832932.2832940"
