EASE
|   ID | CITATION                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|-----:|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    1 | Barbara Kitchenham. 2015. Robust statistical methods: why, what and how: keynote. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 1, 1–6. https://doi.org/10.1145/2745802.2747956                                                                                                                         |
|    2 | Klaas Andries de Graaf, Peng Liang, Antony Tang, and Hans van Vliet. 2015. Supporting architecture documentation: a comparison of two ontologies for knowledge retrieval. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 3, 1–10. https://doi.org/10.1145/2745802.2745804                                |
|    3 | Bo Zhou, Iulian Neamtiu, and Rajiv Gupta. 2015. A cross-platform analysis of bugs and bug-fixing in open source projects: desktop vs. Android vs. iOS. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 7, 1–10. https://doi.org/10.1145/2745802.2745808                                                   |
|    4 | Mahmoud O. Elish and Yasser Al-Ghamdi. 2015. Fault density analysis of object-oriented classes in presence of code clones. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 10, 1–7. https://doi.org/10.1145/2745802.2745811                                                                               |
|    5 | Muhammad Atif Javed and Uwe Zdun. 2015. On the effects of traceability links in differently sized software systems. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 11, 1–10. https://doi.org/10.1145/2745802.2745812                                                                                     |
|    6 | You Zhou, He Zhang, Xin Huang, Song Yang, Muhammad Ali Babar, and Hao Tang. 2015. Quality assessment of systematic reviews in software engineering: a tertiary study. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 14, 1–14. https://doi.org/10.1145/2745802.2745815                                   |
|    7 | Asim Abdulkhaleq and Stefan Wagner. 2015. A controlled experiment for the empirical evaluation of safety analysis techniques for safety-critical software. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 16, 1–10. https://doi.org/10.1145/2745802.2745817                                              |
|    8 | Deepika Badampudi, Claes Wohlin, and Kai Petersen. 2015. Experiences from using snowballing and database searches in systematic literature studies. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 17, 1–10. https://doi.org/10.1145/2745802.2745818                                                     |
|    9 | Passakorn Phannachitta, Akito Monden, Jacky Keung, and Kenichi Matsumoto. 2015. Case consistency: a necessary data quality property for software engineering data sets. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 19, 1–10. https://doi.org/10.1145/2745802.2745820                                 |
