recordId,drugName,condition,date,usefulCount,sideEffects,rating
163740,Mirtazapine,Depression,"February 28, 2012",22,Mild Side Effects,5
206473,Mesalamine,"Crohn's Disease, Maintenance","May 17, 2009",17,Severe Side Effects,4
159672,Bactrim,Urinary Tract Infection,"September 29, 2017",3,No Side Effects,5
39293,Contrave,Weight Loss,"March 5, 2017",35,Mild Side Effects,5
97768,Cyclafem 1 / 35,Birth Control,"October 22, 2015",4,Severe Side Effects,5
208087,Zyclara,Keratosis,"July 3, 2014",13,Severe Side Effects,2
215892,Copper,Birth Control,"June 6, 2016",1,Mild Side Effects,3
169852,Amitriptyline,Migraine Prevention,"April 21, 2009",32,No Side Effects,5
23295,Methadone,Opiate Withdrawal,"October 18, 2016",21,No Side Effects,4
71428,Levora,Birth Control,"April 16, 2011",3,Extremely Severe Side Effects,1
196802,Paroxetine,Hot Flashes,"February 22, 2017",17,Moderate Side Effects,1
31947,Miconazole,Vaginal Yeast Infection,"May 7, 2015",7,Moderate Side Effects,3
4907,Belviq,Weight Loss,"September 23, 2014",57,Mild Side Effects,1
66736,Seroquel,Schizoaffective Disorde,"October 8, 2014",19,Mild Side Effects,5
97013,Ambien,Insomnia,"January 13, 2015",44,Severe Side Effects,1
213376,Nuvigil,Narcolepsy,"June 30, 2010",14,No Side Effects,5
151674,Chantix,Smoking Cessation,"February 14, 2015",26,No Side Effects,5
33173,Microgestin Fe 1 / 20,Acne,"June 22, 2017",1,Severe Side Effects,2
30401,Klonopin,Bipolar Disorde,"July 14, 2009",24,Mild Side Effects,3
152490,Ciprofloxacin,Urinary Tract Infection,"June 9, 2010",9,No Side Effects,5
231397,Trazodone,Insomnia,"October 18, 2016",15,Moderate Side Effects,1
38116,EnteraGam,Irritable Bowel Syndrome,"January 1, 2015",43,Mild Side Effects,5
102969,Aripiprazole,Bipolar Disorde,"February 10, 2010",27,Moderate Side Effects,1
12626,Cyclosporine,Keratoconjunctivitis Sicca,"December 31, 2015",17,Moderate Side Effects,1
190527,Oxybutynin,Hyperhidrosis,"May 30, 2017",10,Mild Side Effects,5
229975,Lurasidone,Bipolar Disorde,"February 11, 2017",18,Moderate Side Effects,3
173391,Clonazepam,Panic Disorde,"April 19, 2008",47,No Side Effects,5
35608,Ciclopirox,"Onychomycosis, Fingernail","June 2, 2016",38,Mild Side Effects,4
187230,Sodium oxybate,Narcolepsy,"January 10, 2013",19,Severe Side Effects,5
211675,Lamotrigine,Bipolar Disorde,"November 22, 2017",1,Mild Side Effects,4
79865,Blisovi Fe 1 / 20,Birth Control,"November 3, 2017",4,Mild Side Effects,5
27607,Ivermectin,Rosacea,"April 1, 2016",19,Mild Side Effects,5
207923,Suprep Bowel Prep Kit,Bowel Preparation,"February 18, 2015",15,Mild Side Effects,4
156919,Movantik,"Constipation, Drug Induced","August 26, 2016",24,Mild Side Effects,1
101149,Actos,"Diabetes, Type 2","June 9, 2010",42,Mild Side Effects,2
178004,Duloxetine,Pain,"March 27, 2012",32,Severe Side Effects,5
60341,NuvaRing,Birth Control,"June 17, 2011",0,Mild Side Effects,4
141462,Escitalopram,Depression,"April 29, 2014",32,No Side Effects,5
133539,Tesamorelin,Lipodystrophy,"January 11, 2012",12,No Side Effects,2
191095,Campral,Alcohol Dependence,"August 23, 2013",55,Mild Side Effects,5
50229,Gabapentin,Bipolar Disorde,"September 24, 2014",75,Mild Side Effects,4
130301,Levonorgestrel,Emergency Contraception,"December 28, 2013",20,No Side Effects,5
101371,Aubra,Birth Control,"December 13, 2015",6,Mild Side Effects,1
79569,Plan B One-Step,Emergency Contraception,"January 19, 2012",21,No Side Effects,4
17957,Ethinyl estradiol / etonogestrel,Birth Control,"December 13, 2012",4,Mild Side Effects,5
219567,Microgestin Fe 1.5 / 30,Birth Control,"October 31, 2016",4,Mild Side Effects,1
171525,Wellbutrin,Major Depressive Disorde,"March 6, 2015",49,Moderate Side Effects,4
173027,Clonazepam,Anxiety,"March 24, 2013",20,Mild Side Effects,3
202002,Benzoyl peroxide / clindamycin,Acne,"January 26, 2017",2,No Side Effects,2
143003,Etonogestrel,Birth Control,"August 15, 2017",0,No Side Effects,2
