condition,usefulCount,rating
108,22,5
101,17,4
401,3,5
417,35,5
54,4,5
217,13,2
54,1,3
246,32,5
280,21,4
54,3,1
183,17,1
407,7,3
417,57,1
351,19,5
205,44,1
257,14,5
368,26,5
3,1,2
53,24,3
401,9,5
205,15,1
211,43,5
53,27,1
216,17,1
187,10,5
53,18,3
295,47,5
276,38,4
257,19,5
53,1,4
54,4,5
350,19,5
58,15,4
95,24,1
115,42,2
293,32,5
54,0,4
108,32,5
228,12,2
8,55,5
53,75,4
133,20,5
54,6,1
133,21,4
54,4,5
54,4,1
234,49,4
26,20,3
3,2,2
54,0,2
407,5,1
55,7,5
54,7,3
54,7,5
49,104,3
348,75,5
134,14,4
0,57,1
3,32,4
346,16,1
54,3,5
90,36,1
26,13,1
343,22,1
352,26,4
114,125,5
108,51,1
352,33,5
218,0,1
54,4,2
234,88,5
187,5,4
108,18,1
54,4,1
149,228,5
54,4,5
293,36,5
272,5,5
108,36,4
8,80,5
108,5,1
133,14,5
26,17,2
293,21,4
54,9,5
246,45,5
260,22,5
407,0,2
286,12,1
54,1,3
250,22,5
54,1,5
53,16,4
179,10,1
337,4,5
114,9,1
293,15,5
208,34,5
54,0,5
0,159,5
54,35,2
368,14,5
133,9,4
286,35,1
234,58,5
246,31,1
53,22,4
246,22,4
54,3,1
54,6,3
319,7,5
108,15,2
44,0,5
417,19,5
54,4,1
54,24,5
423,0,1
54,5,5
98,12,5
293,60,5
54,2,2
108,11,3
183,15,1
368,11,5
3,12,5
54,10,5
54,2,3
3,21,5
0,224,5
108,14,1
117,14,1
234,24,1
26,21,2
54,4,3
108,63,5
115,26,5
345,80,5
54,6,4
293,18,1
293,2,1
295,84,5
92,16,5
407,22,5
54,2,3
54,2,3
133,2,5
108,28,5
205,26,3
115,11,5
149,6,5
345,13,5
369,47,4
108,7,2
54,7,2
272,48,5
234,11,2
53,0,3
407,3,2
8,62,5
3,82,5
261,6,2
293,32,5
52,18,4
54,3,5
169,9,5
108,12,2
40,20,5
85,7,5
279,16,5
164,14,3
108,81,4
29,7,5
97,10,1
136,2,2
205,23,1
38,10,5
3,1,1
94,25,5
359,28,5
3,30,5
279,19,3
54,2,5
45,12,3
271,9,5
3,7,5
53,23,5
163,30,5
54,2,3
319,11,5
423,43,5
54,7,5
21,9,5
54,1,5
425,59,5
3,27,5
243,8,4
313,4,1
108,25,5
3,28,5
108,41,5
293,1,4
108,13,5
149,25,5
93,142,5
26,31,5
359,5,5
54,3,5
350,110,5
81,20,5
48,4,5
184,12,4
191,28,4
54,7,5
54,29,4
116,3,1
97,21,5
241,52,5
258,1,2
108,24,1
313,20,5
337,11,4
54,0,2
58,42,5
54,1,3
293,37,5
54,3,1
216,31,1
417,25,4
407,5,1
53,17,4
108,44,1
273,90,5
234,15,2
3,68,4
80,5,5
108,175,4
54,0,5
346,4,5
54,4,2
134,40,4
26,66,4
54,8,4
54,3,5
422,171,5
283,8,1
246,9,3
54,9,1
205,14,5
0,36,4
4,10,5
160,3,5
293,73,5
97,63,5
53,11,5
26,40,1
417,37,4
54,5,5
58,15,4
413,19,5
43,58,5
411,150,5
354,101,5
108,70,5
243,117,5
246,14,2
289,11,1
367,1,1
99,6,5
260,15,4
142,21,1
108,59,5
54,10,5
108,16,2
401,0,1
205,14,2
348,2,2
407,5,1
219,16,5
54,470,1
255,20,4
40,30,5
336,38,4
367,8,4
370,61,5
54,2,1
287,157,1
92,0,5
26,58,5
336,86,5
290,12,2
54,3,1
218,26,5
54,0,2
