condition,usefulCount,rating
54,1,5
84,0,4
133,13,5
368,7,3
257,11,5
169,21,5
293,86,5
94,76,5
115,46,5
211,21,4
26,1,5
1,8,2
54,0,5
234,32,5
368,2,5
293,72,5
179,29,5
54,1,5
133,24,5
133,4,5
54,31,4
133,2,5
30,23,5
54,6,5
115,15,5
115,31,1
191,10,5
363,37,5
417,5,5
368,22,5
242,28,5
108,35,4
250,2,5
54,2,1
160,6,5
0,12,5
417,42,5
3,5,5
423,10,1
349,23,4
0,66,5
149,25,5
0,11,1
58,13,4
53,60,5
3,12,5
179,15,5
65,1,4
108,16,4
81,11,4
108,6,1
54,4,5
53,25,1
289,24,5
391,48,4
3,11,5
354,42,5
204,2,5
132,12,5
81,1,1
108,28,5
376,58,5
205,46,4
346,12,4
234,46,4
179,31,3
54,9,5
3,50,4
203,26,3
0,58,5
54,4,5
363,15,1
135,10,1
129,17,5
273,160,1
295,1,5
54,7,5
54,2,1
204,10,4
293,20,5
3,34,5
21,7,3
336,18,5
54,6,5
53,59,5
54,5,5
54,6,5
417,9,5
54,2,1
54,3,1
54,15,5
26,117,5
3,25,5
262,16,5
54,15,5
279,9,1
179,31,3
303,14,5
1,19,1
203,10,4
286,46,1
133,13,5
108,18,1
26,39,4
0,27,4
358,22,4
277,2,5
26,5,5
196,189,1
293,32,5
26,1,5
402,50,5
326,3,5
3,12,5
293,42,5
260,18,4
252,81,5
81,96,5
54,1,5
54,11,5
417,5,5
133,8,5
54,0,5
81,57,5
272,19,5
54,4,5
60,140,1
417,43,5
108,99,5
3,2,2
1,1,1
26,104,5
0,66,5
54,29,4
108,24,1
169,4,5
272,20,5
11,7,2
319,80,5
279,13,5
54,4,5
54,6,5
316,17,5
54,20,5
149,85,5
54,21,5
271,0,5
273,216,4
205,103,5
133,5,5
136,26,1
54,24,5
326,21,4
346,1,2
293,55,1
352,79,5
272,27,5
205,45,5
1,36,1
0,8,5
234,30,5
114,6,5
318,0,1
294,8,1
314,10,4
108,62,5
54,6,5
295,24,5
177,2,5
94,26,4
293,34,5
195,32,4
49,34,4
53,33,1
22,38,5
261,28,5
54,8,5
43,35,4
0,29,5
54,2,1
417,14,5
417,9,5
205,41,2
52,4,1
54,2,1
394,2,1
54,1,5
26,48,4
3,6,1
54,0,5
64,18,5
179,3,5
293,5,5
115,46,5
205,27,4
279,106,5
417,1,4
58,28,5
54,11,5
108,4,2
174,117,5
108,42,5
54,10,5
62,54,5
54,3,1
401,17,1
205,123,5
133,57,5
316,3,1
54,3,1
161,34,5
15,23,1
260,36,4
293,34,5
3,9,5
172,26,5
252,23,5
54,3,1
45,14,1
108,120,5
43,2,1
26,13,5
54,3,1
401,4,1
54,7,5
26,51,5
1,10,5
54,1,5
26,55,5
54,4,5
149,67,5
272,25,5
286,23,5
108,186,5
368,3,5
54,0,5
358,34,5
407,2,1
3,5,5
252,37,4
179,17,5
92,1,5
254,79,5
3,5,5
3,6,1
363,25,1
417,48,5
26,43,5
3,11,5
279,6,1
279,11,5
54,8,5
346,44,5
53,3,5
11,4,5
54,0,5
254,63,5
54,1,5
92,32,5
115,20,5
108,72,1
133,1,4
401,59,1
293,74,4
234,14,1
161,1,1
108,223,4
160,15,5
336,25,4
3,5,5
368,20,5
319,70,5
293,6,5
369,22,3
407,19,1
254,55,3
54,1,5
205,43,5
53,14,1
208,5,4
26,14,5
256,0,1
54,2,1
310,10,4
351,14,5
293,6,5
272,30,5
54,2,1
252,30,4
8,95,5
1,15,5
203,25,4
417,19,5
407,5,1
54,13,5
293,39,5
136,24,1
236,30,5
279,43,5
54,14,5
368,15,5
54,6,5
3,2,2
54,1,5
397,18,5
363,56,5
54,4,5
54,4,5
0,46,2
0,21,5
170,13,1
333,29,5
54,3,1
417,18,5
53,142,1
53,42,4
279,10,1
417,12,5
125,11,5
279,14,5
26,37,5
54,18,5
261,1,5
53,26,5
286,63,5
54,3,1
226,12,2
54,2,1
260,24,5
53,27,1
164,153,5
272,14,5
0,3,1
417,27,4
417,19,5
108,25,1
95,14,5
54,4,5
336,26,5
54,3,1
54,12,5
407,0,2
286,9,5
54,3,1
286,45,1
293,32,5
108,22,5
54,8,5
115,71,5
54,8,5
423,61,3
108,39,5
3,10,5
205,22,1
134,25,4
54,4,5
205,32,5
27,269,5
272,16,5
81,27,5
54,4,5
288,0,2
54,8,5
3,10,5
295,17,5
284,13,5
163,1,1
54,5,5
54,17,5
54,2,1
54,0,5
32,23,5
246,15,2
54,1,5
3,31,4
54,4,5
258,11,2
54,0,5
254,9,1
279,13,5
92,1,5
336,15,2
53,46,5
293,12,5
276,15,5
54,2,1
260,3,1
417,19,5
58,16,4
397,63,5
54,19,5
300,12,1
205,15,1
293,22,5
81,4,4
54,1,5
180,35,5
124,59,5
0,13,4
108,18,1
160,10,2
391,24,5
295,6,5
108,27,5
90,9,3
54,7,5
54,14,5
27,33,5
243,1,1
348,14,3
410,0,5
407,5,1
158,11,1
286,65,5
205,33,1
54,4,5
310,48,1
108,64,4
52,24,3
133,0,3
26,13,5
205,17,5
94,35,3
245,12,5
26,14,5
108,25,1
289,9,5
53,19,3
108,60,5
272,23,5
234,21,5
134,67,5
29,41,1
94,10,1
53,1,4
246,4,5
286,122,5
46,8,5
47,65,2
272,51,5
26,27,5
108,104,4
272,21,5
26,4,5
273,2,1
271,28,5
368,28,4
279,15,5
246,11,5
243,7,5
108,65,5
84,0,4
272,21,5
368,23,4
27,44,4
