文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),玻璃类型,是否风化
01,69.33,0,9.99,6.32,0.87,3.93,1.74,3.87,0,0,1.17,0,0,0.39,1,1
03部位1,87.05,0,5.19,2.01,0,4.06,0,0.78,0.25,0,0.66,0,0,0,1,1
03部位2,61.71,0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0,0,1,1
04,65.88,0,9.67,7.12,1.56,6.44,2.06,2.18,0,0,0.79,0,0,0.36,1,1
05,61.58,0,10.95,7.35,1.77,7.5,2.62,3.27,0,0,0.94,0.06,0,0.47,1,1
06部位1,67.65,0,7.37,0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0,0,1,1
06部位2,59.81,0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0,0,1,1
13,59.01,2.86,12.53,8.7,0,6.16,2.88,4.73,0,0,1.27,0,0,0,1,1
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,0,0.16,0,0,0,1,1
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,0,0.04,0,0,1,1
18,79.46,0,9.42,0,1.53,3.05,0,0,0,0,1.36,0.07,2.36,0,1,1
20,37.36,0,0.71,0,0,5.45,1.51,4.78,9.3,23.55,5.75,0,0,0,2,1
21,76.68,0,0,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,0,0,0,1,1
23未风化点,53.79,7.92,0,0.5,0.71,1.42,0,2.99,16.98,11.86,0,0.33,0,0,2,1
24,31.94,0,0,0.47,0,1.59,0,8.46,29.14,26.23,0.14,0.91,0,0,2,1
25未风化点,50.61,2.31,0,0.63,0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0,0,2,1
28未风化点,68.08,0,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0,2,1
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0,0,2,1
30部位1,34.34,0,1.41,4.49,0.98,4.35,2.12,0,39.22,10.29,0,0.35,0.4,0,2,1
30部位2,36.93,0,0,4.24,0.51,3.86,2.74,0,37.74,10.35,1.41,0.48,0.44,0,2,1
31,65.91,0,0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0,0,2,1
32,69.71,0,0.21,0.46,0,2.36,1,0.11,19.76,4.88,0.17,0,0,0,2,1
33,75.51,0,0.15,0.64,1,2.35,0,0.47,16.16,3.55,0.13,0,0,0,2,1
35,65.91,0,0,0.38,0,1.44,0.17,0.16,22.05,5.68,0.42,0,0,0,2,1
37,60.12,0,0.23,0.89,0,2.72,0,3.01,17.24,10.34,1.46,0.31,0,3.66,2,1
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,0,2.67,21.88,10.47,0.08,0.35,0,0,2,1
42未风化点2,51.33,5.68,0.35,0,1.16,5.66,0,2.72,20.12,10.88,0,0,0,0,2,1
44未风化点,60.74,3.06,0.2,2.14,0,12.69,0.77,0.43,13.61,5.22,0,0.26,0,0,2,1
45,61.28,2.66,0.11,0.84,0.74,5,0,0.53,15.99,10.96,0,0.23,0,0,2,1
46,55.21,0,0.25,0,1.67,4.79,0,0.77,25.25,10.06,0.2,0.43,0,0,2,1
47,51.54,4.66,0.29,0.87,0.61,3.06,0,0.65,25.4,9.23,0.1,0.85,0,0,2,1
49未风化点,54.61,0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0,0,2,1
50未风化点,45.02,0,0,3.12,0.54,4.16,0,0.7,30.61,6.22,6.34,0.23,0,0,2,1
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,0,0.54,13.66,8.99,0,0.27,0,0,2,1
55,49.01,2.71,0,1.13,0,1.45,0,0.86,32.92,7.95,0.35,0,0,0,2,1
