pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
59,62,60,53,47,47,50,65,51,53
71,72,71,73,58,53,62,68,54,67
52,57,53,49,40,38,45,48,42,57
61,58,63,55,50,46,54,68,50,56
84,81,85,86,72,67,76,90,79,90
53,55,55,50,42,40,46,51,47,51
78,73,77,72,64,56,70,80,68,74
77,79,77,72,64,64,68,78,62,77
49,51,50,45,37,39,41,54,25,53
82,80,81,79,68,66,71,84,60,81
64,66,63,55,50,45,52,65,51,70
60,62,61,56,48,42,52,64,50,55
57,54,57,53,44,47,48,56,41,55
67,71,68,63,55,51,61,68,56,78
87,86,88,82,75,73,78,84,67,91
58,61,60,52,47,47,51,64,43,56
70,68,69,71,56,51,59,65,56,67
58,61,60,51,47,39,51,65,45,58
69,66,69,58,56,55,61,68,60,68
66,64,66,55,53,51,56,75,52,63
68,70,70,61,57,56,60,72,64,70
62,64,64,51,51,51,55,66,50,57
55,58,57,48,44,44,48,65,44,54
69,70,69,60,56,55,60,75,51,70
74,75,75,81,62,59,64,81,62,86
62,66,61,61,48,47,53,66,41,64
71,74,71,75,58,56,63,71,61,69
66,69,68,66,55,54,59,69,54,66
61,68,62,62,49,49,54,71,42,56
62,70,63,60,50,48,53,65,44,65
59,57,58,51,45,40,47,56,49,63
55,62,57,49,44,41,48,59,40,59
60,59,61,51,48,45,50,57,46,60
67,64,68,64,55,53,59,74,52,61
69,69,69,65,56,61,59,71,53,69
64,67,65,61,52,52,56,69,49,60
56,55,56,42,43,34,47,57,36,58
55,57,56,59,43,32,47,59,41,46
46,44,46,34,33,23,37,54,30,57
54,50,55,53,42,36,46,61,36,61
71,74,71,67,58,54,63,73,59,76
70,77,71,67,58,57,61,69,54,75
51,52,50,49,37,35,41,58,36,50
52,49,52,45,39,32,44,54,45,57
63,60,63,59,50,40,55,66,58,68
72,68,71,66,58,54,61,74,57,70
47,51,49,50,36,35,41,46,35,52
76,81,77,71,64,61,67,75,56,78
69,75,70,68,57,48,62,72,56,78
56,59,56,53,43,35,46,66,40,56
59,61,60,51,47,43,51,64,49,64
60,58,63,54,50,50,54,62,56,61
54,51,54,50,41,35,46,54,43,63
69,67,69,62,56,50,60,78,55,61
66,65,66,62,53,42,57,71,56,72
57,54,57,54,44,40,48,60,47,64
52,54,53,50,40,43,43,50,44,47
65,61,66,66,53,49,56,67,59,70
67,62,67,71,54,52,59,64,48,65
61,57,63,65,50,48,52,68,47,63
86,88,87,80,74,67,78,84,66,83
71,72,71,64,58,58,61,71,52,73
49,47,50,42,37,37,42,54,38,52
58,63,58,49,45,48,48,62,41,55
77,78,78,70,65,64,69,82,61,80
54,54,55,53,42,41,48,59,51,60
48,51,50,46,37,29,40,53,28,58
69,73,70,67,57,57,61,69,59,67
89,90,90,86,77,78,82,94,76,87
66,71,69,65,56,51,60,71,58,75
69,63,69,60,56,52,59,73,56,73
57,60,58,51,45,43,47,60,47,62
64,66,65,59,52,53,57,70,44,68
59,61,61,55,48,43,52,62,47,64
69,68,70,63,57,55,60,71,59,69
74,77,75,70,62,60,67,77,60,69
60,63,61,64,48,45,52,66,47,66
42,39,43,38,30,27,34,52,29,49
67,67,66,59,53,50,57,70,60,72
45,47,46,42,33,25,38,52,33,50
73,75,73,65,60,54,64,79,66,79
63,67,64,60,51,45,55,68,39,73
80,88,82,77,69,67,72,86,78,87
63,70,66,63,53,47,57,65,45,64
57,55,58,50,45,44,50,55,38,60
70,63,69,66,56,54,60,70,52,79
70,75,71,65,58,49,64,73,60,82
65,73,67,62,54,58,56,68,53,69
78,79,79,77,66,66,70,85,66,75
71,71,72,72,59,57,63,78,65,75
71,68,72,70,59,65,61,79,58,76
56,59,57,49,44,34,48,52,44,57
64,65,64,63,51,41,57,67,54,63
75,74,74,73,61,62,64,71,56,66
68,74,69,64,56,54,61,74,55,62
64,70,64,61,51,47,57,66,55,61
68,72,69,71,56,58,61,71,64,71
83,76,83,75,70,66,73,84,62,83
61,62,63,57,50,47,54,66,48,60
74,77,74,72,61,61,64,76,53,87
77,78,78,77,65,58,70,79,69,74
76,74,77,68,64,62,67,79,55,67
67,72,68,61,55,53,58,81,60,70
67,69,69,64,56,53,62,73,55,72
62,65,63,58,50,45,54,66,46,69
64,64,64,59,51,42,56,70,60,68
63,71,64,61,51,47,54,67,49,69
54,59,57,55,44,45,46,54,50,51
59,59,60,53,47,41,54,63,45,60
63,67,66,64,53,48,57,67,56,76
59,56,60,56,47,42,53,60,47,52
62,63,64,62,51,49,54,65,52,67
71,68,71,70,58,57,61,72,62,74
67,73,68,61,55,48,59,66,58,72
75,74,74,69,61,56,65,80,65,59
53,48,52,50,39,37,41,52,39,53
57,58,59,53,46,44,51,61,41,63
63,63,65,64,52,48,56,64,50,63
67,66,68,63,55,52,60,73,49,67
59,64,60,52,47,45,50,63,43,67
75,72,74,62,61,60,65,77,63,75
74,75,75,76,62,58,67,74,63,71
68,70,68,67,55,55,61,69,62,65
64,70,65,64,52,51,57,66,65,72
60,55,60,53,47,45,52,68,51,60
47,48,48,39,35,33,39,54,31,58
62,66,64,54,51,50,55,67,52,70
71,76,72,69,59,56,63,71,60,67
72,75,76,66,63,59,66,74,66,78
64,62,65,64,52,43,55,67,59,63
47,45,47,46,34,32,38,47,34,43
73,75,74,72,61,60,67,80,63,76
67,68,67,67,54,51,57,68,49,71
86,85,87,85,74,72,79,92,74,86
60,58,61,58,48,47,53,62,58,66
66,68,67,63,54,51,57,73,53,69
68,67,70,69,57,51,62,68,51,64
65,62,65,70,52,49,55,64,52,73
78,78,79,77,66,65,69,84,70,79
59,59,60,52,47,35,50,60,51,59
66,68,67,56,54,55,56,66,61,70
57,61,58,58,45,40,50,59,44,60
61,57,62,52,49,46,53,61,47,66
62,60,62,59,49,49,52,62,55,73
56,59,57,50,44,40,49,55,40,60
58,60,59,49,46,46,51,62,47,54
80,76,79,75,66,64,70,84,70,81
81,81,81,77,68,64,72,83,77,79
77,79,77,69,64,61,68,80,62,77
62,64,64,64,51,46,55,66,51,55
87,95,89,85,76,71,80,94,81,87
61,65,62,63,49,44,53,62,58,56
87,88,87,82,74,69,79,89,72,83
56,63,57,56,44,38,48,59,53,57
46,48,47,42,34,27,38,49,55,45
74,76,75,71,62,57,66,79,60,72
66,69,68,65,55,54,58,69,56,64
60,60,58,58,45,41,49,62,46,55
67,69,67,65,54,56,59,68,54,63
66,66,65,61,52,47,56,63,49,68
78,75,78,69,65,59,69,84,77,79
71,71,73,68,60,54,66,83,59,77
80,81,80,69,67,59,71,85,68,86
52,54,52,50,39,33,45,55,46,57
82,86,84,80,71,73,75,84,69,88
74,78,75,72,62,56,66,72,72,76
41,45,42,38,29,25,34,45,32,44
74,80,74,72,61,58,65,75,67,72
47,45,48,38,35,29,39,50,39,48
51,48,51,46,38,37,43,52,39,49
71,72,72,64,59,55,62,71,54,72
76,75,77,64,64,63,66,77,65,83
83,81,84,82,71,64,76,84,66,93
56,58,58,50,45,43,49,56,53,61
70,70,72,65,59,55,60,75,52,68
67,67,69,68,56,52,59,75,65,77
74,74,76,72,63,60,68,81,52,80
71,74,73,67,60,62,63,76,66,81
53,59,56,48,43,43,46,61,44,61
73,76,73,78,60,54,64,74,59,69
75,75,78,68,65,58,68,81,67,78
41,37,42,36,29,22,31,42,31,39
88,91,87,80,74,69,79,86,73,83
56,63,57,55,44,39,49,59,48,53
65,67,67,62,54,48,58,70,53,61
69,81,72,62,59,52,63,78,70,70
68,69,69,65,56,54,60,71,56,64
60,60,61,50,48,46,51,61,43,67
69,70,69,67,56,54,58,69,59,73
63,66,64,58,51,52,56,65,46,68
61,56,63,51,50,47,53,67,51,64
75,80,77,69,64,63,68,76,67,76
59,60,61,56,48,41,51,56,50,68
51,49,52,51,39,39,43,53,40,59
54,55,53,39,40,37,44,51,46,54
73,74,74,64,61,64,64,74,71,71
60,61,60,61,47,40,50,58,48,66
70,69,71,60,58,54,61,74,66,75
75,80,76,67,63,64,66,75,67,78
60,60,60,53,47,48,52,69,42,60
