pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,Æ½¾ù·Ö
53.64652918,56.18794314,53.79223891,51.81528881,53.79223891,57.91644289,52.63998569,57.44611865,58.39127743,45.13337341,54.0761437
68.21584024,67.70042572,67.23749557,74.27460893,67.23749557,64.73246832,67.30262224,60.94709517,61.69586427,61.19533777,66.05392538
45.1477644,50.43170185,45.2361665,47.32342478,45.2361665,47.69240475,46.5305538,37.60725168,48.47751692,49.72250608,46.34054573
56.07474769,51.58295011,57.45912709,54.06122082,57.45912709,56.78043865,57.52753121,60.94709517,57.28974849,48.57522292,55.77572092
83.99926056,78.06166004,84.34964039,88.873167,84.34964039,80.63652764,84.40903153,86.62092301,89.23408791,87.58285066,84.81167891
46.36187365,48.12920533,47.68075862,48.44639079,47.68075862,49.96441323,47.75244018,41.1082282,53.98516165,42.83880707,47.39480373
76.71460503,68.85167398,74.57127192,73.15164292,74.57127192,68.14048103,77.07771326,74.95100127,77.11726951,69.22631996,73.43732508
75.50049577,75.75916352,74.57127192,73.15164292,74.57127192,77.22851493,74.63394051,72.61701692,70.50809583,72.66816946,74.12095837
41.50543663,43.5242123,41.56927832,42.83156076,41.56927832,48.82840899,41.64300829,44.60920473,30,45.13337341,42.12137618
81.57104205,76.91041178,79.46045616,81.01240496,79.46045616,79.50052341,78.29959964,79.61896996,68.30503794,77.25730214,78.13962042
59.71707546,60.79293617,57.45912709,54.06122082,57.45912709,55.64443442,55.08375845,57.44611865,58.39127743,64.63718728,58.06922629
54.86063844,56.18794314,55.01453497,55.18418682,55.01453497,52.2364217,55.08375845,56.27912647,57.28974849,47.42793975,54.45788332
51.21831067,46.97795707,50.12535074,51.81528881,50.12535074,57.91644289,50.19621294,46.94318908,47.37598798,47.42793975,50.01220307
63.35940322,66.54917746,63.57060739,63.04494887,63.57060739,62.46045984,66.08073586,60.94709517,63.89892216,73.81545263,64.729741
87.64158832,83.81790133,88.01652857,84.38130298,88.01652857,87.45255307,86.85280429,79.61896996,76.01574056,88.73013383,85.05440515
52.43241993,55.03669488,53.79223891,50.6923228,53.79223891,57.91644289,53.86187207,56.27912647,49.57904587,48.57522292,53.19576257
67.00173099,63.09543269,64.79290345,72.02867691,64.79290345,62.46045984,63.6369631,57.44611865,63.89892216,61.19533777,64.0349449
52.43241993,55.03669488,53.79223891,49.56935679,53.79223891,48.82840899,53.86187207,57.44611865,51.78210376,50.86978925,52.74112422
65.78762173,60.79293617,64.79290345,57.43011884,64.79290345,67.00447679,66.08073586,60.94709517,68.30503794,62.34262094,63.82764503
62.14529397,58.49043965,61.12601527,54.06122082,61.12601527,62.46045984,59.97130396,69.11604039,59.49280638,56.6062051,60.45958007
64.57351248,65.3979292,66.01519951,60.79901685,66.01519951,68.14048103,64.85884948,65.61506387,72.71115372,64.63718728,65.87635929
57.28885695,58.49043965,58.68142315,49.56935679,58.68142315,62.46045984,58.74941759,58.61311082,57.28974849,49.72250608,56.95467425
48.79009216,51.58295011,50.12535074,46.20045878,50.12535074,54.50843018,50.19621294,57.44611865,50.68057481,46.28065658,50.59361957
65.78762173,65.3979292,64.79290345,59.67605085,64.79290345,67.00447679,64.85884948,69.11604039,58.39127743,64.63718728,64.44552401
71.85816801,71.15417049,72.1266798,83.25833697,72.1266798,71.54849374,69.74639499,76.11799344,70.50809583,82.99371798,74.14387311
57.28885695,60.79293617,55.01453497,60.79901685,55.01453497,57.91644289,56.30564483,58.61311082,47.37598798,57.75348827,56.68745547
68.21584024,70.00292223,67.23749557,76.52054094,67.23749557,68.14048103,68.52450861,64.4480717,69.40656689,63.48990411,68.32238269
62.14529397,64.24668094,63.57060739,66.41384688,63.57060739,65.86847256,63.6369631,62.11408735,61.69586427,60.0480546,63.33104784
56.07474769,63.09543269,56.23683103,61.92198286,56.23683103,60.18845137,57.52753121,64.4480717,48.47751692,48.57522292,57.27826194
57.28885695,65.3979292,57.45912709,59.67605085,57.45912709,59.05244713,56.30564483,57.44611865,50.68057481,58.90077144,57.9666648
53.64652918,50.43170185,51.3476468,49.56935679,51.3476468,49.96441323,48.97432656,46.94318908,56.18821954,56.6062051,51.50192349
48.79009216,56.18794314,50.12535074,47.32342478,50.12535074,51.10041747,50.19621294,50.4441656,46.27445903,52.01707242,50.2584489
54.86063844,52.73419836,55.01453497,49.56935679,55.01453497,55.64443442,52.63998569,48.11018125,52.8836327,53.16435559,52.96358532
63.35940322,58.49043965,63.57060739,64.16791487,63.57060739,64.73246832,63.6369631,67.94904822,59.49280638,54.31163876,62.32818973
65.78762173,64.24668094,64.79290345,65.29088088,64.79290345,73.82050222,63.6369631,64.4480717,60.59433532,63.48990411,65.09007669
59.71707546,61.94418443,59.90371921,60.79901685,59.90371921,63.59646408,59.97130396,62.11408735,56.18821954,53.16435559,59.73021457
50.00420142,48.12920533,48.90305468,39.46266274,48.90305468,43.1483878,48.97432656,48.11018125,41.86834325,50.86978925,46.8373207
48.79009216,50.43170185,48.90305468,58.55308484,48.90305468,40.87637933,48.97432656,50.4441656,47.37598798,37.10239123,48.03542389
37.86310887,35.4654745,36.68009409,30.47893469,36.68009409,30.65234119,36.75546277,44.60920473,35.25916957,49.72250608,37.41663906
47.57598291,42.37296404,47.68075862,51.81528881,47.68075862,45.42039628,47.75244018,52.77814995,41.86834325,54.31163876,47.92567214
68.21584024,70.00292223,67.23749557,67.53681289,67.23749557,65.86847256,68.52450861,66.78205604,67.203509,71.52088629,68.0129999
67.00173099,73.45666701,67.23749557,67.53681289,67.23749557,69.27648527,66.08073586,62.11408735,61.69586427,70.37360312,67.20109779
43.93365514,44.67546056,41.56927832,47.32342478,41.56927832,44.28439204,41.64300829,49.27717343,41.86834325,41.6915239,43.7835538
45.1477644,41.22171579,44.01387044,42.83156076,44.01387044,40.87637933,45.30866742,44.60920473,51.78210376,49.72250608,44.95276431
58.5029662,53.88544662,57.45912709,58.55308484,57.45912709,49.96441323,58.74941759,58.61311082,66.10198005,62.34262094,58.16312945
