pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
59,62,60,53.14315981,48.68445014,42.97781818,52.70420927,61.94644655,47.6121111,54.22979945
71,72,71,64.13432083,59.73089484,54.46405194,63.74383388,73.43356529,58.12331884,65.29222062
52,57,53,46.81410213,42.28732008,35.97781818,46.31789723,54.94644655,41.58969561,47.77036442
61,58,63,53.46822955,49.22652569,45.49158441,53.20983283,64.4593278,47.19056529,55.0051184
84,81,85,76.13033288,71.87584032,67.97781818,75.8631454,86.94644655,69.67935755,77.60810454
53,55,55,47.14558533,42.73370054,37.49158441,46.74405273,56.4593278,41.63452658,48.35653082
78,73,77,68.78359722,64.57159966,60.95028571,68.55608257,79.92068403,61.67935755,70.27351186
77,79,77,70.46979199,66.03232981,60.46405194,70.05067786,79.43356529,64.6121111,71.56250311
49,51,50,42.80768866,38.38301517,32.97781818,42.39736529,51.94644655,37.12331884,43.95951697
82,80,81,73.79001069,69.47590457,64.95028571,73.47661451,83.92068403,67.14573432,75.08435931
64,66,65.15826382,55,53.82391309,47.00973204,56.76209549,68.08333333,51.10514601,64.33333333
60,62,62.76064552,56,49.82391309,45.48847866,54.38932028,64.08333333,49.61244522,65.33333333
57,54,58.07585907,53,44.50273509,42.48847866,49.80521517,61.08333333,44.11974444,62.33333333
67,71,70.4345601,63,57.75238429,52.48847866,62.02296232,71.08333333,57.60952554,72.33333333
87,86,88.42929731,82,75.43120629,71.99272934,80.11341226,91.08333333,74.61536491,91.33333333
58,61,60.45665013,52,48.28814869,42.49698001,52.05525138,62.08333333,47.1080657,61.33333333
70,68,73.01519806,71,57.96697069,57.96722528,64.74926098,74.08333333,60.12558381,80.33333333
58,61,60.13617379,51,48.28814869,42.00123069,51.72980642,62.08333333,46.60660585,60.33333333
69,66,67.83252469,58,56.50273509,51.01823339,59.52710047,73.08333333,52.60952554,67.33333333
66,64,65.16948198,55,53.96697069,48.01823339,56.84392149,70.08333333,50.1080657,64.33333333
68,71.09598285,70,62.63135475,57,52.07931412,61.79864809,71.05647593,56.80288822,70.8
62,65.09598285,64,56.63135475,51,46.07931412,55.79864809,65.05647593,50.80288822,64.8
55,58.09598285,57,49.63135475,44,39.07931412,48.79864809,58.05647593,43.80288822,57.8
69,70.78564001,69,62.61440364,56,51.70563954,61.46406285,70.6921781,55.80288822,69.8
74,76.44081143,75,68.12287919,62,57.39247683,67.13135547,76.37432702,61.80288822,75.8
62,63.13046859,61,55.10592809,48,44.01880225,53.79677023,63.01002919,47.80288822,61.8
71,72.78564001,71,64.61440364,58,53.70563954,63.46406285,72.6921781,57.80288822,71.8
66,69.09598285,68,60.63135475,55,50.07931412,59.79864809,69.05647593,54.80288822,68.8
61,63.44081143,62,55.12287919,49,44.39247683,54.13135547,63.37432702,48.80288822,62.8
62,64.44081143,63,56.12287919,50,45.39247683,55.13135547,64.37432702,49.80288822,63.8
59,61.47874125,59.82755887,51,47.73579788,40,51.40791438,61.05497202,46.01666667,59.88813382
55,58.45592612,58.09058963,49,46.22268305,41,49.69040716,59.51856876,44.01666667,59.42920905
