pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
,,,,,,,,,
71.0,72.0,71.0,73.0,58.0,,,,,
,,,,,,,,,
61.0,58.0,63.0,55.0,50.0,,,,,
84.0,81.0,85.0,86.0,72.0,,,,,
,,,,,,,,,
78.0,73.0,77.0,72.0,64.0,,,,,
77.0,79.0,77.0,72.0,64.0,,,,,
,,,,,,,,,
82.0,80.0,81.0,79.0,68.0,,,,,
64.0,66.0,,55.0,,45.0,52.0,,,
,,,,,,,,,
,,,,,,,,,
67.0,71.0,,63.0,,51.0,61.0,,,
87.0,86.0,,82.0,,73.0,78.0,,,
,,,,,,,,,
70.0,68.0,,71.0,,51.0,59.0,,,
,,,,,,,,,
69.0,66.0,,58.0,,55.0,61.0,,,
66.0,64.0,,55.0,,51.0,56.0,,,
68.0,,70.0,,57.0,,,72.0,64.0,
62.0,,64.0,,51.0,,,66.0,50.0,
,,,,,,,,,
69.0,,69.0,,56.0,,,75.0,51.0,
74.0,,75.0,,62.0,,,81.0,62.0,
,,,,,,,,,
71.0,,71.0,,58.0,,,71.0,61.0,
66.0,,68.0,,55.0,,,69.0,54.0,
,,,,,,,,,
,,,,,,,,,
59.0,57.0,,51.0,,40.0,,,,63.0
,,,,,,,,,
60.0,59.0,,51.0,,45.0,,,,60.0
67.0,64.0,,64.0,,53.0,,,,61.0
69.0,69.0,,65.0,,61.0,,,,69.0
64.0,67.0,,61.0,,52.0,,,,60.0
,,,,,,,,,
55.0,57.0,,59.0,,32.0,,,,46.0
,,,,,,,,,
,,,,,,,,,
71.0,,71.0,67.0,58.0,,63.0,,,
70.0,,71.0,67.0,58.0,,61.0,,,
,,,,,,,,,
,,,,,,,,,
63.0,,63.0,59.0,50.0,,55.0,,,
72.0,,71.0,66.0,58.0,,61.0,,,
,,,,,,,,,
76.0,,77.0,71.0,64.0,,67.0,,,
69.0,,70.0,68.0,57.0,,62.0,,,
,,,,,,,,,
,,,,,,,,,
60.0,,,,,50.0,54.0,62.0,56.0,
,,,,,,,,,
69.0,,,,,50.0,60.0,78.0,55.0,
66.0,,,,,42.0,57.0,71.0,56.0,
,,,,,,,,,
,,,,,,,,,
65.0,,,,,49.0,56.0,67.0,59.0,
67.0,,,,,52.0,59.0,64.0,48.0,
61.0,,,,,48.0,52.0,68.0,47.0,
86.0,88.0,87.0,,,,,,66.0,83.0
71.0,72.0,71.0,,,,,,52.0,73.0
,,,,,,,,,
,,,,,,,,,
77.0,78.0,78.0,,,,,,61.0,80.0
,,,,,,,,,
,,,,,,,,,
69.0,73.0,70.0,,,,,,59.0,67.0
92.0,90.0,93.0,,,,,,76.0,87.0
66.0,71.0,69.0,,,,,,58.0,75.0
,63.0,69.0,60.0,56.0,,,,56.0,
,,,,,,,,,
,66.0,65.0,59.0,52.0,,,,44.0,
,,,,,,,,,
,68.0,70.0,63.0,57.0,,,,59.0,
,77.0,75.0,70.0,62.0,,,,60.0,
,63.0,61.0,64.0,48.0,,,,47.0,
,,,,,,,,,
,67.0,66.0,59.0,53.0,,,,60.0,
,,,,,,,,,
,75.0,,,60.0,54.0,64.0,79.0,,
,,,,,,,,,
,88.0,,,69.0,67.0,72.0,86.0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,75.0,,,58.0,49.0,64.0,73.0,,
,73.0,,,54.0,58.0,56.0,68.0,,
,79.0,,,66.0,66.0,70.0,85.0,,
,71.0,,,59.0,57.0,63.0,78.0,,
71.0,68.0,,,59.0,,,,58.0,76.0
,,,,,,,,,
,,,,,,,,,
75.0,74.0,,,61.0,,,,56.0,66.0
68.0,74.0,,,56.0,,,,55.0,62.0
,,,,,,,,,
68.0,72.0,,,56.0,,,,64.0,71.0
83.0,76.0,,,70.0,,,,62.0,83.0
,,,,,,,,,
74.0,77.0,,,61.0,,,,53.0,87.0
,78.0,78.0,77.0,65.0,58.0,,,,
,74.0,77.0,68.0,64.0,62.0,,,,
,72.0,68.0,61.0,55.0,53.0,,,,
,69.0,69.0,64.0,56.0,53.0,,,,
,,,,,,,,,
,,,,,,,,,
,71.0,64.0,61.0,51.0,47.0,,,,
,,,,,,,,,
,,,,,,,,,
,67.0,66.0,64.0,53.0,48.0,,,,
,,,,,,,,,
,,64.0,62.0,,49.0,54.0,65.0,,
,,71.0,70.0,,57.0,61.0,72.0,,
,,68.0,61.0,,48.0,59.0,66.0,,
,,74.0,69.0,,56.0,65.0,80.0,,
,,,,,,,,,
,,,,,,,,,
,,65.0,64.0,,48.0,56.0,64.0,,
,,68.0,63.0,,52.0,60.0,73.0,,
,,,,,,,,,
,,74.0,,,,65.0,77.0,63.0,75.0
,,75.0,,,,67.0,74.0,63.0,71.0
,,68.0,,,,61.0,69.0,62.0,65.0
,,65.0,,,,57.0,66.0,65.0,72.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,72.0,,,,63.0,71.0,60.0,67.0
,,76.0,,,,66.0,74.0,66.0,78.0
,,,,,,,,,
,,,,,,,,,
73.0,75.0,,,,,67.0,80.0,63.0,
67.0,68.0,,,,,57.0,68.0,49.0,
