0,1,2,3,4,5,6,7,8,9,index
74.0,74.0,76.0,,,60.0,68.0,,52.0,80.0,176
,,77.0,69.0,64.0,,68.0,80.0,62.0,77.0,148
78.0,73.0,77.0,72.0,64.0,,,80.0,68.0,,6
76.0,81.0,77.0,71.0,64.0,61.0,67.0,,,,47
75.0,,76.0,,,64.0,66.0,75.0,67.0,78.0,198
75.0,,77.0,,,63.0,68.0,76.0,67.0,76.0,191
75.0,,78.0,68.0,65.0,58.0,,,67.0,78.0,180
77.0,78.0,78.0,,,,69.0,82.0,61.0,80.0,64
76.0,75.0,77.0,,,63.0,66.0,,65.0,83.0,171
77.0,79.0,77.0,72.0,64.0,,,78.0,62.0,,7
,78.0,78.0,77.0,65.0,58.0,,79.0,69.0,,100
,81.0,80.0,69.0,,59.0,,85.0,68.0,86.0,162
,75.0,78.0,69.0,,59.0,,84.0,77.0,79.0,160
83.0,76.0,,,70.0,66.0,73.0,,62.0,83.0,97
78.0,78.0,,,66.0,65.0,69.0,84.0,70.0,,138
,,79.0,75.0,66.0,,70.0,84.0,70.0,81.0,146
,,81.0,77.0,68.0,,72.0,83.0,77.0,79.0,147
78.0,79.0,,77.0,66.0,66.0,70.0,85.0,,,88
82.0,80.0,81.0,79.0,68.0,,,84.0,60.0,,9
80.0,88.0,,77.0,69.0,67.0,72.0,86.0,,,82
86.0,88.0,87.0,,,,78.0,84.0,66.0,83.0,60
83.0,81.0,84.0,,,64.0,76.0,,66.0,93.0,172
,86.0,84.0,80.0,,73.0,,84.0,69.0,88.0,164
88.0,,87.0,80.0,74.0,69.0,,,73.0,83.0,182
84.0,81.0,85.0,86.0,72.0,,,90.0,79.0,,4
87.0,,,,74.0,69.0,79.0,89.0,72.0,83.0,152
86.0,85.0,,,74.0,72.0,79.0,92.0,74.0,,133
87.0,86.0,,82.0,,73.0,78.0,,67.0,91.0,14
87.0,,,,76.0,71.0,80.0,95.0,83.0,87.0,150
92.0,90.0,93.0,,,,82.0,96.0,76.0,87.0,68
