0,1,2,3,4,5,6,7,8,9,index
68,72,69,71,56,58,61,71,64,71,96
71,74,71,75,58,56,63,71,61,69,26
70,77,71,67,58,57,61,69,54,75,41
71,68,72,70,59,65,61,79,58,76,90
70,75,71,65,58,49,64,73,60,82,86
72,68,71,66,58,54,61,74,57,70,45
75,74,74,73,61,62,64,71,56,66,93
71,72,72,64,59,55,62,71,54,72,170
71,74,71,67,58,54,63,73,59,76,40
71,68,71,70,58,57,61,72,62,74,112
69,81,72,62,59,52,63,78,70,70,185
71,72,71,73,58,53,62,68,54,67,1
70,69,71,60,58,54,61,74,66,75,197
71,71,72,72,59,57,63,78,65,75,89
74,75,75,76,62,58,67,74,63,71,121
73,75,73,65,60,54,64,79,66,79,80
71,71,73,68,60,54,66,83,59,77,161
75,72,74,62,61,60,65,77,63,75,120
74,76,75,71,62,57,66,79,60,72,155
75,74,74,69,61,56,65,80,65,59,114
