pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,index
68.0,72.0,70.05908109330298,67.20361136182858,56.0,58.0,61.0,73.25678030595121,64.0,71.0,96
71.0,74.0,71.0,79.95819239760769,58.0,60.38426038603467,63.0,71.0,61.0,63.71108910798209,26
70.0,77.0,71.0,67.0,58.0,57.0,61.0,65.0779788202218,50.70859561730216,66.46553411693765,41
71.0,68.0,71.2938492994899,72.46303316781754,59.0,65.0,61.0,73.94749381991426,58.0,76.0,90
70.0,75.0,69.36594380660068,65.0,58.0,49.0,64.0,73.0,60.3757958787683,69.75017792499469,86
72.0,68.0,71.0,66.0,58.0,54.0,61.0,65.8547692956223,51.957527317377064,68.96514128359634,45
75.0,74.0,73.47946042357658,69.0638266643863,61.0,62.0,64.0,74.29538216918911,56.0,66.0,93
71.0,72.0,72.0,61.637115777542064,67.0104979963479,55.0,62.0,87.75788643612704,54.0,72.0,170
71.0,74.0,71.0,67.0,58.0,54.0,63.0,65.16164962160346,50.92793468977554,67.03754187719471,40
70.39402439416048,68.0,71.0,70.0,58.0,57.0,61.0,72.0,61.19087230581014,74.75923880234596,112
69.0,66.11468163338495,72.0,62.0,59.0,52.0,67.62215432709947,88.91270873314679,70.0,70.0,185
71.0,72.0,71.0,73.0,58.0,63.230056382154714,56.85012794928312,68.0,54.0,65.46038675945408,1
70.0,61.21539595048111,71.0,56.40423228220759,66.9316568952182,54.0,61.0,74.0,66.0,75.0,197
71.0,71.0,71.26341912660091,72.0,59.0,57.0,63.0,78.0,57.19228693886985,73.67324407761646,89
74.0,71.73308599307397,75.0,65.01360585059743,62.375115876438116,58.0,67.0,74.0,63.0,71.0,121
73.0,75.0,71.25028230131339,65.0,60.0,54.0,64.0,79.0,58.5179116945814,69.9286036733466,80
73.44358454163923,71.0,73.0,68.0,69.33671757464327,54.0,67.78105379139987,83.0,59.0,77.0,161
75.0,69.54211026163507,74.0,66.36245314649454,62.34770863203904,60.0,65.0,77.0,63.0,75.0,120
74.0,68.18883809388716,78.95656661359462,61.768939047196085,62.0,57.0,66.0,79.0,60.0,72.0,155
73.63595196326501,74.0,74.0,69.0,61.0,56.0,65.0,80.0,62.82969354783863,73.77459342288421,114
