pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10
1.0,1.0,1.0,2.0,2.0,,,3.0,3.0,
1.0,1.0,,1.0,,2.0,2.0,,3.0,3.0
1.0,3.0,1.0,,1.0,,3.0,2.0,2.0,
1.0,2.0,3.0,1.0,,1.0,3.0,,,2.0
1.0,3.0,2.0,2.0,1.0,3.0,1.0,,,
1.0,,,3.0,,1.0,2.0,1.0,2.0,3.0
2.0,1.0,1.0,,,,3.0,3.0,1.0,2.0
,1.0,2.0,1.0,2.0,3.0,,,1.0,3.0
3.0,1.0,,3.0,1.0,2.0,1.0,2.0,,
2.0,1.0,,,1.0,3.0,3.0,,1.0,2.0
,2.0,1.0,1.0,2.0,1.0,,3.0,3.0,
,3.0,1.0,1.0,3.0,2.0,1.0,2.0,,
3.0,,1.0,,,3.0,1.0,1.0,2.0,2.0
2.0,2.0,,,3.0,3.0,1.0,1.0,1.0,
,,2.0,2.0,1.0,,3.0,1.0,3.0,1.0
3.0,,,,1.0,1.0,2.0,2.0,3.0,1.0
,3.0,3.0,2.0,,1.0,,1.0,2.0,1.0
2.0,2.0,3.0,,,1.0,1.0,,3.0,1.0
3.0,,2.0,1.0,2.0,3.0,,,1.0,1.0
3.0,,3.0,,,2.0,2.0,1.0,1.0,1.0
