0,1,2,3,4,5,6,7,8,9,10
1,1,1,0,0,1,1,0,1,1,176
0,0,1,1,1,0,1,1,1,1,148
1,1,1,1,1,0,0,1,1,0,6
1,1,1,1,1,1,1,0,0,0,47
1,0,1,0,0,1,1,1,1,1,198
1,0,1,0,0,1,1,1,1,1,191
1,0,1,1,1,1,0,0,1,1,180
1,1,1,0,0,0,1,1,1,1,64
1,1,1,0,0,1,1,0,1,1,171
1,1,1,1,1,0,0,1,1,0,7
0,1,1,1,1,1,0,1,1,0,100
0,1,1,1,0,1,0,1,1,1,162
0,1,1,1,0,1,0,1,1,1,160
1,1,0,0,1,1,1,0,1,1,97
1,1,0,0,1,1,1,1,1,0,138
0,0,1,1,1,0,1,1,1,1,146
0,0,1,1,1,0,1,1,1,1,147
1,1,0,1,1,1,1,1,0,0,88
1,1,1,1,1,0,0,1,1,0,9
1,1,0,1,1,1,1,1,0,0,82
1,1,1,0,0,0,1,1,1,1,60
1,1,1,0,0,1,1,0,1,1,172
0,1,1,1,0,1,0,1,1,1,164
1,0,1,1,1,1,0,0,1,1,182
1,1,1,1,1,0,0,1,1,0,4
1,0,0,0,1,1,1,1,1,1,152
1,1,0,0,1,1,1,1,1,0,133
1,1,0,1,0,1,1,0,1,1,14
1,0,0,0,1,1,1,1,1,1,150
1,1,1,0,0,0,1,1,1,1,68
