Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
?	1062	-318	-42	-0.29943502	-0.03954802	746	230	74	11	1	780	203	68	10	1	
rt	925	-300	-70	-0.3243243	-0.075675674	536	262	114	12	1	680	193	45	6	1	
@justinbiebcr	1	2	1	2.0	1.0	0	0	1	0	0	0	1	0	0	0	
:	3009	-758	-287	-0.25191092	-0.09538052	2120	612	231	31	15	2503	408	86	11	1	
the	1784	-353	-59	-0.19786996	-0.03307175	962	571	219	32	0	1134	481	151	18	0	
bigger	5	3	1	0.6	0.2	2	2	1	0	0	4	1	0	0	0	
better	50	-3	8	-0.06	0.16	14	24	11	1	0	26	19	5	0	0	
.	5290	-1221	-12	-0.23081285	-0.002268431	3139	1558	528	60	5	3486	1348	417	39	0	
if	186	-62	-8	-0.33333334	-0.043010753	104	61	19	1	1	94	67	22	3	0	
you	999	-265	36	-0.26526526	0.036036037	436	347	192	15	9	588	300	98	12	1	
know	140	-38	22	-0.27142859	0.15714286	68	45	25	2	0	59	66	14	1	0	
what	179	-46	-5	-0.25698325	-0.02793296	103	56	20	0	0	107	56	14	2	0	
i	1672	-405	171	-0.24222489	0.10227273	709	606	299	50	8	724	660	264	23	1	
mean	24	-7	2	-0.29166666	0.083333336	13	8	2	1	0	7	13	4	0	0	
;)	26	11	0	0.42307693	0.0	3	16	7	0	0	17	6	3	0	0	
listening	24	-9	-8	-0.375	-0.33333334	15	6	2	1	0	23	1	0	0	0	
to	1597	-254	65	-0.15904821	0.040701315	776	552	239	28	2	960	465	159	13	0	
'	715	-213	-82	-0.2979021	-0.11468531	440	201	65	5	4	458	202	53	0	2	
new	163	-14	11	-0.08588957	0.06748466	95	43	20	5	0	131	20	12	0	0	
age	4	1	0	0.25	0.0	2	1	1	0	0	4	0	0	0	0	
station	4	0	0	0.0	0.0	2	1	1	0	0	4	0	0	0	0	
on	526	-118	-18	-0.2243346	-0.03422053	312	162	48	4	0	328	142	52	4	0	
@slackerradio	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
http	1530	-347	-144	-0.22679739	-0.09411765	1146	273	98	12	1	1340	156	29	5	0	
slacker	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
com	554	-131	-37	-0.23646209	-0.066787004	417	85	44	7	1	487	56	11	0	0	
/	1937	-438	-140	-0.22612287	-0.07227672	1448	362	112	14	1	1645	240	47	5	0	
r	31	-13	6	-0.41935483	0.19354838	13	12	6	0	0	17	9	4	1	0	
nqkf	1	2	0	2.0	0.0	0	0	1	0	0	1	0	0	0	0	
favorited	13	-12	0	-0.9230769	0.0	9	4	0	0	0	13	0	0	0	0	
a	1081	-293	-39	-0.27104533	-0.036077704	557	359	147	15	3	637	327	110	7	0	
youtube	70	-26	-1	-0.37142858	-0.014285714	54	12	4	0	0	61	7	2	0	0	
video	73	-28	-9	-0.38356164	-0.12328767	53	13	7	0	0	66	5	2	0	0	
-	1111	-299	-171	-0.26912692	-0.15391539	807	225	73	4	2	924	139	44	3	1	
drake	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
and	1137	-248	-6	-0.21811785	-0.005277045	589	366	160	20	2	700	291	131	15	0	
josh	3	-1	-2	-0.33333334	-0.6666667	3	0	0	0	0	3	0	0	0	0	
storm	6	-3	-5	-0.5	-0.8333333	5	1	0	0	0	3	2	1	0	0	
we	142	-28	7	-0.1971831	0.049295776	57	55	23	7	0	86	49	7	0	0	
will	167	-32	-12	-0.19161677	-0.07185629	73	68	23	1	2	106	42	18	1	0	
rock	20	-11	-7	-0.55	-0.35	9	4	5	1	1	18	1	1	0	0	
youtu	26	-13	0	-0.5	0.0	18	6	2	0	0	25	1	0	0	0	
be	319	-63	1	-0.19749217	0.0031347962	145	120	44	8	2	189	98	30	2	0	
v1cib4kdpsi	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
didnt	13	-2	8	-0.15384616	0.61538464	6	6	0	1	0	2	8	2	1	0	
knee	2	-1	1	-0.5	0.5	1	0	0	1	0	0	1	1	0	0	
high	17	-3	-1	-0.1764706	-0.05882353	8	6	2	1	0	9	7	1	0	0	
ment	1	0	1	0.0	1.0	0	0	0	1	0	0	1	0	0	0	
in	692	-157	4	-0.22687861	0.0057803467	355	235	93	8	1	432	183	74	3	0	
lengt	1	0	1	0.0	1.0	0	0	0	1	0	0	1	0	0	0	
it	542	-163	-4	-0.300738	-0.007380074	227	185	108	17	5	277	193	69	3	0	
goes	15	-1	-3	-0.06666667	-0.2	8	4	1	2	0	9	6	0	0	0	
down	56	-12	-3	-0.21428572	-0.05357143	30	18	7	1	0	31	20	5	0	0	
my	875	-161	36	-0.184	0.04114286	370	343	131	21	10	451	274	137	12	1	
knees	1	0	1	0.0	1.0	0	0	0	1	0	0	1	0	0	0	
^	6	-1	0	-0.16666667	0.0	2	1	1	2	0	3	1	1	1	0	
is	602	-181	-28	-0.30066445	-0.046511628	302	185	88	25	2	339	182	73	8	0	
so	318	-50	27	-0.1572327	0.08490566	109	98	85	23	3	155	96	62	5	0	
